Location,Indicator,Period,Dim1,First Tooltip
Micronesia (Federated States of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.4
Micronesia (Federated States of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,3.6
Micronesia (Federated States of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Monaco,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Monaco,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Monaco,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Mongolia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,11.6
Mongolia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,15.1
Mongolia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,6.4
Montenegro,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.2
Montenegro,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.6
Montenegro,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.8
Morocco,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.8
Morocco,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,1.2
Morocco,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.3
Mozambique,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.4
Mozambique,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,3.8
Mozambique,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.8
Myanmar,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.6
Myanmar,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.5
Myanmar,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.4
Namibia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.1
Namibia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.5
Namibia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.5
Nauru,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Nauru,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Nauru,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Nepal,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.3
Nepal,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,3.6
Nepal,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.9
Netherlands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.6
Netherlands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.7
Netherlands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.7
New Zealand,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.2
New Zealand,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.3
New Zealand,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.1
Nicaragua,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,7.7
Nicaragua,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12.2
Nicaragua,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.1
Niger,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1
Niger,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,1.4
Niger,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.4
Nigeria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,7.9
Nigeria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12.1
Nigeria,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.5
Niue,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Niue,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Niue,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Norway,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.4
Norway,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.4
Norway,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.4
Oman,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.6
Oman,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2
Oman,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.7
Pakistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.6
Pakistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.8
Pakistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.2
Palau,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Palau,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Palau,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Panama,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.3
Panama,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.2
Panama,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
Papua New Guinea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.3
Papua New Guinea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,3.5
Papua New Guinea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1
Paraguay,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.3
Paraguay,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.7
Paraguay,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.2
Peru,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.9
Peru,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.4
Peru,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.7
Philippines,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.2
Philippines,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.7
Philippines,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.8
Poland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.9
Poland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.6
Poland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.9
Portugal,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.9
Portugal,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.6
Portugal,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.2
Qatar,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.9
Qatar,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.3
Qatar,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
Republic of Korea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,7.6
Republic of Korea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,11.8
Republic of Korea,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.6
Republic of Moldova,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,26.1
Republic of Moldova,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,26.9
Republic of Moldova,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,25.3
Romania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,8.6
Romania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12
Romania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,4.7
Russian Federation,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,21.6
Russian Federation,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,23.1
Russian Federation,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,19.9
Rwanda,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.7
Rwanda,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.9
Rwanda,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.2
Saint Kitts and Nevis,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Saint Kitts and Nevis,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Saint Kitts and Nevis,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Saint Lucia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.3
Saint Lucia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10
Saint Lucia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.1
Saint Vincent and the Grenadines,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.4
Saint Vincent and the Grenadines,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.2
Saint Vincent and the Grenadines,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.7
Samoa,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.4
Samoa,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,3.4
Samoa,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.2
San Marino,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
San Marino,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
San Marino,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Sao Tome and Principe,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,7
Sao Tome and Principe,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.2
Sao Tome and Principe,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.2
Saudi Arabia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.2
Saudi Arabia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.3
Saudi Arabia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.1
Senegal,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.6
Senegal,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.4
Senegal,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.7
Serbia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.5
Serbia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.3
Serbia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.6
Seychelles,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,8.6
Seychelles,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12.8
Seychelles,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.8
Sierra Leone,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.6
Sierra Leone,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.1
Sierra Leone,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2
Singapore,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.4
Singapore,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,3.5
Singapore,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.2
Slovakia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,8.3
Slovakia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12.9
Slovakia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.2
Slovenia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,8
Slovenia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12.7
Slovenia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.5
Solomon Islands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.1
Solomon Islands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.9
Solomon Islands,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Somalia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.2
Somalia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.3
Somalia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.1
South Africa,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.4
South Africa,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10
South Africa,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.2
South Sudan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3
South Sudan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4.5
South Sudan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.3
Spain,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.3
Spain,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.7
Spain,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.8
Sri Lanka,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.6
Sri Lanka,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.5
Sri Lanka,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Sudan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.7
Sudan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,1.1
Sudan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.3
Suriname,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5
Suriname,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.7
Suriname,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Sweden,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.6
Sweden,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,5.8
Sweden,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.5
Switzerland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.5
Switzerland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7
Switzerland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.2
Syrian Arab Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.1
Syrian Arab Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.2
Syrian Arab Republic,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.1
Tajikistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,5.3
Tajikistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.3
Tajikistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.9
Thailand,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,7.4
Thailand,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,11.3
Thailand,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.4
The former Yugoslav Republic of Macedonia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.3
The former Yugoslav Republic of Macedonia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.9
The former Yugoslav Republic of Macedonia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.4
Timor-Leste,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.9
Timor-Leste,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4.4
Timor-Leste,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.9
Togo,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,2.7
Togo,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4.1
Togo,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.2
Tonga,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.7
Tonga,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.5
Tonga,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.9
Trinidad and Tobago,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.8
Trinidad and Tobago,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.6
Trinidad and Tobago,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.2
Tunisia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.4
Tunisia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.1
Tunisia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.6
Turkey,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.4
Turkey,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.1
Turkey,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.5
Turkmenistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,9.3
Turkmenistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,12.6
Turkmenistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,5
Tuvalu,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,No data
Tuvalu,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,No data
Tuvalu,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,No data
Uganda,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.5
Uganda,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,9.4
Uganda,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3
Ukraine,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,20.5
Ukraine,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,21.2
Ukraine,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,19.8
United Arab Emirates,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.5
United Arab Emirates,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4.1
United Arab Emirates,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.2
United Kingdom of Great Britain and Northern Ireland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.6
United Kingdom of Great Britain and Northern Ireland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.9
United Kingdom of Great Britain and Northern Ireland,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.5
United Republic of Tanzania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,7.3
United Republic of Tanzania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10.9
United Republic of Tanzania,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.1
United States of America,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.9
United States of America,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7.5
United States of America,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.1
Uruguay,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.9
Uruguay,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,7
Uruguay,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0.9
Uzbekistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.5
Uzbekistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,8.9
Uzbekistan,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,3.6
Vanuatu,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,1.8
Vanuatu,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,2.3
Vanuatu,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.1
Venezuela (Bolivarian Republic of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,6.7
Venezuela (Bolivarian Republic of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,10
Venezuela (Bolivarian Republic of),"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.6
Viet Nam,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,7.3
Viet Nam,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,11.2
Viet Nam,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,2.3
Yemen,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,0.1
Yemen,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,0.2
Yemen,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,0
Zambia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,4.2
Zambia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,6.4
Zambia,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.6
Zimbabwe,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Both sexes,3.1
Zimbabwe,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Male,4.9
Zimbabwe,"Alcohol-attributable fractions, all-cause deaths (%)",2016,Female,1.2
